Timestamp,Temperature,Pressure,Out_Heater,Out_Mixer_Motor,Out_Inlet_Valve,Out_Outlet_Valve,In_Start_Button,In_Stop_Button,In_HiTemp_Switch,In_HiPress_Switch,In_Level_High,In_Level_Low,Temp_Setpoint,Pressure_Setpoint,Alarms,Cycle_Count
2026-05-05 15:46:33.982,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:35.010,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:36.033,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:37.109,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:38.197,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:39.294,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:40.382,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:41.450,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:45.134,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:46.154,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:47.166,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:48.182,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:49.199,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:50.212,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:51.228,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:52.243,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:53.257,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:54.292,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:55.358,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:56.457,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:57.551,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:58.639,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:46:59.712,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:47:00.794,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:47:01.865,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
2026-05-05 15:47:02.961,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0x0000,0
